Date,Product,Quantity,Price,Region,Salesperson,Profit
2024-02-20,Phone,11,2400,South,Bob,3890.87279637961
2024-01-07,Monitor,45,1080,West,Bob,7868.66716984494
2024-01-21,Headphones,37,3075,South,Bob,15644.6671873394
2024-03-13,Tablet,44,1284,South,Charlie,10978.6350447927
2024-02-08,Laptop,43,3427,West,Alice,15654.2455203789
2024-01-18,Monitor,22,3494,North,Dave,7137.71749724711
2024-01-04,Headphones,44,227,West,Bob,1800.73521385345
2024-03-29,Monitor,5,2165,North,Eve,904.313742795961
2024-02-29,Headphones,15,1916,North,Bob,5589.45236752848
2024-01-14,Headphones,32,669,North,Eve,1109.43044912394
2024-01-09,Tablet,29,1995,West,Charlie,11309.6009278756
2024-03-30,Headphones,27,2833,North,Eve,4319.75172375173
2024-02-22,Monitor,35,3963,East,Dave,25476.1508378237
2024-01-02,Headphones,34,4821,West,Alice,21170.3399392158
2024-03-24,Tablet,46,4114,East,Eve,37649.0944815201
2024-04-01,Tablet,39,3001,North,Eve,7147.51142100995
2024-02-29,Monitor,11,1786,South,Alice,2614.45319070225
2024-03-11,Phone,20,3109,North,Dave,12149.6847497193
2024-02-13,Phone,30,254,East,Bob,978.90083588648
2024-01-08,Headphones,6,2637,East,Eve,2284.85178788642
2024-02-16,Laptop,5,1509,West,Alice,1164.66357875834
2024-02-04,Headphones,16,4157,South,Charlie,7860.46529497512
2024-03-18,Monitor,9,884,West,Alice,1146.72781277232
2024-03-21,Monitor,41,3275,East,Charlie,18482.5706350211
2024-02-05,Monitor,36,4441,North,Dave,29604.8307127886
2024-02-19,Monitor,13,2906,South,Bob,2146.43100348094
2024-01-04,Monitor,45,637,North,Alice,2641.32147444919
2024-01-02,Tablet,39,1941,North,Eve,14576.7298399667
2024-01-06,Phone,23,2555,South,Dave,10785.7026890525
2024-02-23,Monitor,20,624,West,Alice,1476.98944121485
2024-01-04,Laptop,7,3050,North,Eve,3053.47464445942
2024-02-23,Laptop,24,4231,East,Alice,9302.15922669542
2024-04-02,Laptop,28,4880,North,Charlie,10687.7312896982
2024-03-03,Laptop,37,4215,South,Alice,18645.1627113622
2024-01-18,Tablet,28,2468,South,Alice,7117.90785482685
2024-03-30,Laptop,15,3947,South,Alice,8143.55401531963
2024-02-13,Monitor,12,4595,West,Dave,3399.94318233739
2024-02-03,Headphones,40,2801,North,Alice,21977.6791376376
2024-03-14,Laptop,42,1071,West,Eve,8903.35975622723
2024-03-02,Tablet,44,1266,West,Charlie,8618.76001766338
2024-04-09,Tablet,24,2874,South,Charlie,8995.46744474281
2024-01-14,Laptop,39,2082,South,Alice,7829.85350808259
2024-04-04,Headphones,29,953,West,Dave,4755.47794394614
2024-02-17,Laptop,39,4246,North,Dave,25287.8060681831
2024-01-15,Tablet,29,3836,East,Eve,8275.72382007246
2024-03-12,Phone,33,3869,West,Alice,23829.5175201931
2024-03-18,Monitor,22,674,North,Charlie,2570.88733570971
2024-03-27,Tablet,22,3361,South,Dave,14231.6157782947
2024-03-02,Laptop,6,1248,South,Alice,1189.52815182181
2024-02-09,Monitor,39,1815,North,Dave,10052.3391966472
2024-03-25,Laptop,20,4877,East,Dave,10996.313863968
2024-03-20,Laptop,45,3954,South,Charlie,33790.5568564769
2024-03-22,Phone,40,2591,South,Bob,18645.8292261733
2024-02-22,Monitor,37,2760,South,Eve,5798.65958868661
2024-01-24,Monitor,8,3224,North,Eve,1391.60855093497
